src_database,src_id,structure,mobile_id,barrier
Crystallography Open Database,1537475,Li24Al8N16,0,10.122589111328123
Crystallography Open Database,1537475,Li24Al8N16,1,10.139495849609377
Crystallography Open Database,1537475,Li24Al8N16,2,10.142868041992188
Crystallography Open Database,1537475,Li24Al8N16,3,10.129608154296877
Crystallography Open Database,1537475,Li24Al8N16,4,10.131851196289062
Crystallography Open Database,1537475,Li24Al8N16,5,10.168380737304688
Crystallography Open Database,1537475,Li24Al8N16,6,10.175018310546877
Crystallography Open Database,1537475,Li24Al8N16,7,10.1661376953125
Crystallography Open Database,1537475,Li24Al8N16,8,10.175018310546877
Crystallography Open Database,1537475,Li24Al8N16,9,10.113723754882812
Crystallography Open Database,1537475,Li24Al8N16,10,10.121780395507812
Crystallography Open Database,1537475,Li24Al8N16,11,10.16839599609375
Crystallography Open Database,1537475,Li24Al8N16,12,10.122604370117188
Crystallography Open Database,1537475,Li24Al8N16,13,10.139495849609377
Crystallography Open Database,1537475,Li24Al8N16,14,10.14288330078125
Crystallography Open Database,1537475,Li24Al8N16,15,10.129608154296877
Crystallography Open Database,1537475,Li24Al8N16,16,10.131851196289062
Crystallography Open Database,1537475,Li24Al8N16,17,10.16839599609375
Crystallography Open Database,1537475,Li24Al8N16,18,10.175018310546877
Crystallography Open Database,1537475,Li24Al8N16,19,10.166122436523438
Crystallography Open Database,1537475,Li24Al8N16,20,10.175018310546877
Crystallography Open Database,1537475,Li24Al8N16,21,10.113723754882812
Crystallography Open Database,1537475,Li24Al8N16,22,10.121780395507812
Crystallography Open Database,1537475,Li24Al8N16,23,10.168380737304688
Icsd,153620,Li12W2N8,0,2.9434356689453125
Icsd,153620,Li12W2N8,1,2.996978759765625
Icsd,153620,Li12W2N8,2,2.99139404296875
Icsd,153620,Li12W2N8,3,2.941375732421875
Icsd,153620,Li12W2N8,4,3.218170166015625
Icsd,153620,Li12W2N8,5,3.2316131591796875
Icsd,153620,Li12W2N8,6,3.2841339111328125
Icsd,153620,Li12W2N8,7,3.220306396484375
Icsd,153620,Li12W2N8,8,3.0809478759765625
Icsd,153620,Li12W2N8,9,3.0823974609375
Icsd,153620,Li12W2N8,10,3.076507568359375
Icsd,153620,Li12W2N8,11,3.0692138671875
Icsd,245988,CsLi2I3,1,0.320770263671875
Icsd,245988,CsLi2I3,2,0.3169364929199219
Crystallography Open Database,7024042,Li12Mo6O24,0,1.579071044921875
Crystallography Open Database,7024042,Li12Mo6O24,1,1.579071044921875
Crystallography Open Database,7024042,Li12Mo6O24,2,1.579071044921875
Crystallography Open Database,7024042,Li12Mo6O24,3,1.579071044921875
Crystallography Open Database,7024042,Li12Mo6O24,4,1.579071044921875
Crystallography Open Database,7024042,Li12Mo6O24,5,1.579071044921875
Crystallography Open Database,7024042,Li12Mo6O24,6,1.58642578125
Crystallography Open Database,7024042,Li12Mo6O24,7,1.586456298828125
Crystallography Open Database,7024042,Li12Mo6O24,8,1.586456298828125
Crystallography Open Database,7024042,Li12Mo6O24,9,1.586456298828125
